Name,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two,Year,Round,Home Team,Away Team
Cameron McInnes,13,Lock,41:00,-,-,-,-,-,-,-,-,29,7,60,-,17,-,-,-,-,-,6,-,2.53s,-,-,-,-,1,2,8,0.29,85.29%,29,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,27:46,12:40,2024,15,Sharks,Dolphins
Jack Williams,14,Interchange,42:00,-,-,-,-,-,-,-,-,39,8,79,-,32,-,-,-,-,-,8,-,3.05s,-,-,-,1,3,2,10,0.25,100%,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42:05,-,2024,15,Sharks,Dolphins
Thomas Hazelton,15,Interchange,36:00,-,-,-,-,-,-,-,-,30,11,99,12,44,-,-,-,-,2,10,-,3.64s,-,-,-,-,1,1,12,0.09,87.5%,21,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36:29,-,2024,15,Sharks,Dolphins
Braden Hamlin-Uele,16,Interchange,18:00,-,-,-,-,-,-,-,-,21,4,59,13,21,1,-,-,-,1,3,-,2.44s,-,-,-,-,-,-,4,-,100%,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:55,-,2024,15,Sharks,Dolphins
Royce Hunt,17,Interchange,27:00,4,1,-,-,-,-,-,-,35,8,74,10,36,1,-,-,-,4,7,-,3.03s,-,-,-,-,-,-,8,-,87.5%,14,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,22:00,05:10,2024,15,Sharks,Dolphins
Daniel Atkinson,18,Replacement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,15,Sharks,Dolphins
Hamiso Tabuai-Fidow,1,Fullback,80:00,4,1,-,-,-,-,-,-,52,15,253,180,44,1,-,-,-,10,-,-,3.45s,-,-,-,-,4,19,35,1.27,33.33%,2,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Jamayne Isaako,2,Winger,80:00,10,-,4,5,1,71.43%,-,-,36,14,151,61,46,-,-,-,-,3,-,-,3.21s,-,-,-,-,1,11,26,0.79,72.73%,8,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Jake Averillo,3,Centre,80:00,4,1,-,-,-,-,-,-,33,11,88,-,25,-,-,-,-,2,-,-,2.83s,2,15,-,-,4,5,17,0.45,85%,17,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Herbie Farnworth,4,Centre,80:00,4,1,-,-,-,-,-,-,61,19,215,-,97,1,-,-,-,5,-,-,2.89s,-,-,-,3,4,3,19,0.16,85.71%,12,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
